numer_sta;date;pmer;tend;cod_tend;dd;vitesse_vent;temperature;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;;Nom;Latitude;Longitude;Altitude;Region
07015;20130102060000;102150.0;210.0;3.0;270.0;3.1;278.15;276.35;88.0;15000.0;3.0;nan;nan;90.0;7.0;1250.0;35.0;61.0;60.0;101560.0;nan;nan;nan;275.75;nan;278.35;nan;275.15;nan;nan;nan;4.6;-10.0;2.0;0.0;0.0;-60.0;0.0;0.0;nan;0.0;0.8;710.0;1105.0;3100.0;nan;7.0;6.0;1470.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;;LILLE-LESQUIN;50.57;3.0975;47.0;Hauts-de-France
07005;20130102090000;102540.0;270.0;1.0;290.0;2.1;279.35;277.65;89.0;22000.0;2.0;1.0;1.0;40.0;2.0;450.0;38.0;20.0;11.0;101620.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;3.6;-10.0;nan;nan;0.0;-30.0;0.0;0.0;nan;nan;nan;710.0;1104.0;3100.0;nan;1.0;8.0;390.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;;ABBEVILLE;50.136;1.834;69.0;Hauts-de-France
07015;20130102090000;102450.0;300.0;1.0;240.0;2.1;277.55;276.55;93.0;30000.0;2.0;1.0;1.0;10.0;1.0;3500.0;30.0;23.0;11.0;101860.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;4.1;-10.0;nan;nan;0.0;-30.0;0.0;0.0;nan;nan;nan;710.0;1104.0;3100.0;nan;1.0;3.0;3000.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;;LILLE-LESQUIN;50.57;3.0975;47.0;Hauts-de-France
07005;20130102120000;102650.0;120.0;1.0;260.0;4.6;281.65;278.75;82.0;20000.0;2.0;1.0;1.0;90.0;7.0;450.0;38.0;61.0;60.0;101740.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;7.2;-10.0;nan;nan;0.0;-60.0;0.0;0.0;0.0;nan;nan;710.0;1107.0;3100.0;nan;4.0;8.0;480.0;6.0;6.0;1500.0;nan;nan;nan;nan;nan;nan;;ABBEVILLE;50.136;1.834;69.0;Hauts-de-France
07015;20130102120000;102590.0;150.0;1.0;240.0;4.1;280.55;277.65;82.0;19000.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;102010.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;5.7;-10.0;nan;0.0;nan;nan;0.0;0.0;0.0;nan;nan;710.0;1106.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;LILLE-LESQUIN;50.57;3.0975;47.0;Hauts-de-France
07005;20130102150000;102760.0;100.0;3.0;220.0;3.1;281.15;279.15;87.0;18000.0;21.0;2.0;2.0;100.0;7.0;450.0;35.0;61.0;60.0;101840.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;5.1;-10.0;nan;nan;0.0;-30.0;0.0;0.0;nan;nan;nan;710.0;1105.0;3100.0;nan;2.0;6.0;480.0;7.0;6.0;1500.0;nan;nan;nan;nan;nan;nan;;ABBEVILLE;50.136;1.834;69.0;Hauts-de-France
07015;20130102150000;102690.0;100.0;3.0;240.0;3.1;281.15;277.95;80.0;25000.0;2.0;1.0;1.0;100.0;8.0;2250.0;35.0;61.0;60.0;102110.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;5.7;-10.0;nan;nan;0.0;-30.0;0.0;0.0;nan;nan;nan;710.0;1106.0;3100.0;nan;8.0;6.0;2100.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;;LILLE-LESQUIN;50.57;3.0975;47.0;Hauts-de-France
07005;20130102180000;102780.0;20.0;0.0;200.0;4.1;280.55;279.45;93.0;12000.0;58.0;nan;nan;nan;nan;nan;nan;nan;nan;101860.0;nan;nan;nan;278.55;nan;281.65;nan;nan;nan;nan;nan;6.7;-10.0;nan;0.0;nan;nan;0.0;0.0;nan;0.0;nan;710.0;1107.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;ABBEVILLE;50.136;1.834;69.0;Hauts-de-France
07015;20130102180000;102770.0;80.0;3.0;210.0;2.6;280.65;278.95;89.0;18000.0;60.0;6.0;2.0;100.0;8.0;1250.0;35.0;61.0;60.0;102190.0;nan;nan;nan;276.45;nan;281.15;nan;nan;nan;nan;nan;5.1;-10.0;nan;nan;0.0;-60.0;0.0;0.0;nan;0.0;nan;710.0;1105.0;3100.0;nan;8.0;6.0;1140.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;;LILLE-LESQUIN;50.57;3.0975;47.0;Hauts-de-France
07005;20130102210000;102820.0;40.0;2.0;200.0;3.6;280.85;280.45;97.0;3300.0;10.0;nan;nan;nan;nan;nan;nan;nan;nan;101900.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;7.2;-10.0;nan;0.0;nan;nan;0.6;1.0;nan;nan;nan;710.0;1107.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;ABBEVILLE;50.136;1.834;69.0;Hauts-de-France
