numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07690;20130101000000;102040.0;-140.0;8.0;330.0;5.7;279.15;273.85;69.0;40000.0;2.0;1.0;1.0;0.0;nan;nan;nan;nan;nan;101720.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;7.2;-10.0;nan;nan;0.0;-60.0;0.0;0.0;0.0;nan;nan;710.0;1107.0;3100.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
07747;20130101000000;101380.0;-130.0;6.0;260.0;2.1;278.05;277.05;93.0;40000.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;100840.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;4.1;-10.0;nan;nan;nan;nan;0.0;0.0;0.0;nan;nan;710.0;1104.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
07761;20130101000000;102080.0;-100.0;8.0;30.0;4.1;279.25;276.55;83.0;29000.0;0.0;nan;nan;90.0;nan;1250.0;nan;nan;nan;101970.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;6.2;-10.0;nan;nan;nan;nan;0.0;0.0;0.0;nan;nan;710.0;1106.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
07790;20130101000000;102060.0;-120.0;8.0;170.0;1.5;280.75;277.35;79.0;55000.0;0.0;nan;nan;90.0;nan;1250.0;nan;nan;nan;101910.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;4.1;-10.0;nan;nan;nan;nan;0.0;0.0;0.0;nan;nan;710.0;1104.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
61968;20130101000000;100820.0;nan;nan;130.0;0.5;297.05;295.45;91.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;100770.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;2.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
61970;20130101000000;100810.0;nan;nan;0.0;0.0;300.15;297.65;86.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;100700.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
61972;20130101000000;100860.0;nan;nan;170.0;1.5;298.85;295.75;83.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;100790.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
61976;20130101000000;100410.0;nan;nan;nan;nan;300.15;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;80260.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;3.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
61980;20130101000000;101080.0;nan;nan;130.0;6.2;298.05;291.25;66.0;10000.0;2.0;1.0;1.0;10.0;1.0;800.0;38.0;20.0;10.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;11.3;-10.0;nan;nan;nan;nan;0.0;nan;0.0;nan;nan;710.0;1111.0;nan;nan;1.0;8.0;780.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;
61996;20130101000000;100480.0;nan;nan;250.0;12.9;287.55;283.15;75.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
61997;20130101000000;100520.0;nan;nan;300.0;9.3;278.25;276.25;87.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;1020.0;nan;nan;nan;nan;nan;nan;nan;nan;22.1;-60.0;nan;nan;nan;nan;nan;nan;0.4;nan;nan;1122.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
