numer_sta;date;pmer;tend;cod_tend;dd;ff;t;vv;ww
61972;20130128030000;-44.66285714285914;nan;nan;45.254285714285714;0.06571428571428584;13.687142857142874;nan;nan
61976;20130128030000;-414.66285714285914;nan;nan;56.68285714285713;1.5371428571428574;13.772857142857163;nan;nan
61980;20130128030000;-486.0914285714389;nan;nan;70.96857142857141;1.765714285714286;11.501428571428562;nan;nan
61996;20130128030000;-474.66285714285914;nan;nan;58.111428571428576;1.6228571428571428;11.64428571428573;nan;nan
61997;20130128030000;-531.8057142857142;nan;nan;79.53999999999999;2.3514285714285714;6.887142857142862;nan;nan
61998;20130128030000;-398.94857142856927;nan;nan;56.68285714285713;1.2514285714285718;5.972857142857151;nan;nan
67005;20130128030000;-314.66285714285914;nan;nan;nan;nan;5.744285714285695;nan;nan
71805;20130128030000;-417.5200000000041;nan;nan;nan;nan;6.415714285714273;nan;nan
78897;20130128030000;11.051428571430733;nan;nan;nan;nan;8.972857142857151;nan;nan
78922;20130128030000;126.76571428570605;nan;nan;nan;nan;11.158571428571406;nan;nan
78925;20130128030000;155.33714285714086;nan;nan;nan;nan;10.658571428571406;nan;nan
81401;20130128030000;-70.37714285714901;nan;nan;nan;nan;11.70142857142855;nan;nan
81405;20130128030000;-197.52000000000407;nan;nan;nan;nan;9.230000000000018;nan;nan
81408;20130128030000;-314.66285714285914;nan;nan;-40.46000000000001;-1.4914285714285715;6.029999999999973;nan;nan
89642;20130128030000;-401.8057142857142;nan;nan;-7.602857142857147;-0.6914285714285717;3.8157142857142503;nan;nan
07005;20130128060000;-421.8057142857142;nan;nan;26.68285714285713;0.19428571428571395;0.9585714285714175;nan;nan
07015;20130128060000;-447.5200000000041;nan;nan;55.254285714285714;0.2657142857142851;-2.341428571428594;nan;nan
07020;20130128060000;-460.377142857149;149.65571428571428;-1.4828571428571427;18.111428571428576;0.2657142857142851;-5.812857142857183;7185.8942857142865;-2.734285714285713
07027;20130128060000;-138.94857142856927;183.9414285714286;-2.34;36.68285714285713;0.4228571428571426;-5.241428571428571;5043.037142857142;-2.8771428571428572
07037;20130128060000;-98.94857142856927;176.79857142857142;-2.34;36.68285714285713;0.637142857142857;-5.141428571428605;5328.751428571428;-11.448571428571428
07072;20130128060000;-31.805714285714203;173.9414285714286;-2.6257142857142854;35.254285714285714;0.3514285714285714;-5.112857142857138;11328.751428571428;-11.877142857142857
07110;20130128060000;-0.3771428571490105;179.65571428571428;-2.6257142857142854;33.82571428571427;-0.30571428571428605;-5.727142857142894;10614.465714285714;-12.02
07117;20130128060000;9.62285714285099;178.22714285714287;-2.6257142857142854;30.96857142857141;-0.6771428571428575;-5.912857142857149;9185.894285714287;-9.305714285714284
07130;20130128060000;41.05142857143073;163.9414285714286;-2.6257142857142854;19.539999999999992;-0.8200000000000003;-6.227142857142894;5185.8942857142865;-9.305714285714284
07139;20130128060000;73.90857142856112;179.65571428571428;-2.7685714285714287;33.82571428571427;-0.6628571428571428;-6.027142857142849;3443.0371428571416;-7.877142857142856
07149;20130128060000;109.62285714285099;193.9414285714286;-2.7685714285714287;40.96857142857141;0.137142857142857;-5.355714285714271;2014.465714285714;-7.734285714285714
07168;20130128060000;155.33714285714086;212.51285714285714;-2.7685714285714287;39.53999999999999;-0.2200000000000002;-5.555714285714316;2443.0371428571416;-7.591428571428571
07190;20130128060000;168.1942857142858;221.08428571428573;-2.4828571428571427;42.39714285714285;-0.0771428571428574;-5.398571428571415;-2556.9628571428566;-7.162857142857143
07207;20130128060000;198.1942857142858;205.37;-2.197142857142857;40.96857142857141;-0.0771428571428574;-5.298571428571449;-2556.9628571428566;-4.448571428571428
07222;20130128060000;252.47999999999593;211.08428571428573;-2.197142857142857;18.111428571428576;-0.5200000000000005;-5.841428571428594;-5399.82;-0.4485714285714284
07240;20130128060000;272.4799999999959;222.51285714285714;-2.197142857142857;3.8257142857142696;-0.7342857142857144;-5.655714285714282;-6614.1057142857135;0.694285714285714
07255;20130128060000;318.1942857142858;223.9414285714286;-1.9114285714285715;22.397142857142853;-0.005714285714286227;-4.427142857142883;-4871.24857142857;-0.4485714285714284
07280;20130128060000;325.33714285714086;213.9414285714286;-1.6257142857142854;13.82571428571427;-0.52;-5.312857142857126;nan;-0.4485714285714284
07299;20130128060000;352.4799999999959;192.51285714285714;-1.3399999999999999;nan;nan;-5.312857142857126;nan;2.4085714285714293
07314;20130128060000;376.76571428570605;183.9414285714286;-1.6257142857142854;nan;nan;-5.427142857142883;nan;2.4085714285714293
07335;20130128060000;nan;192.51285714285714;-1.7685714285714282;nan;nan;-5.9557142857142935;nan;-0.5914285714285707
07434;20130128060000;nan;195.37;-1.7685714285714282;nan;nan;-5.498571428571438;nan;-6.162857142857143
07460;20130128060000;nan;178.22714285714287;-1.7685714285714282;nan;nan;-4.855714285714271;nan;-7.448571428571428
07471;20130128060000;nan;166.79857142857142;-2.0542857142857143;nan;nan;-5.584285714285727;nan;nan
07481;20130128060000;nan;168.22714285714287;-2.0542857142857143;nan;nan;-5.784285714285716;nan;nan
07510;20130128060000;nan;176.79857142857142;-2.34;6.682857142857131;-0.23428571428571443;-5.698571428571427;nan;nan
07535;20130128060000;nan;149.65571428571428;-1.7685714285714282;39.53999999999999;-0.6057142857142859;-6.32714285714286;nan;nan
07558;20130128060000;nan;132.51285714285714;-1.7685714285714282;25.254285714285714;-0.7485714285714287;-5.527142857142849;nan;nan
07577;20130128060000;nan;109.6557142857143;-1.9114285714285715;59.53999999999999;0.137142857142857;-5.141428571428548;nan;nan
07591;20130128060000;nan;111.08428571428571;-2.0542857142857143;62.39714285714285;0.28000000000000025;-5.227142857142837;nan;nan
07607;20130128060000;nan;103.94142857142857;-2.0542857142857143;62.39714285714285;0.7942857142857145;-4.96999999999997;nan;-3.8771428571428572
07621;20130128060000;nan;103.94142857142857;-2.0542857142857143;56.68285714285713;-0.005714285714286227;-4.184285714285693;nan;-3.734285714285713
07627;20130128060000;nan;81.08428571428571;-2.0542857142857143;95.25428571428571;0.8799999999999999;-3.8700000000000045;nan;-0.8771428571428572
07630;20130128060000;363.9085714285611;72.51285714285714;-1.9114285714285715;86.68285714285716;1.9799999999999995;-2.8985714285714153;14043.037142857142;-0.7342857142857131
07643;20130128060000;178.1942857142858;62.512857142857136;-1.7685714285714282;102.39714285714282;2.194285714285714;-2.912857142857149;14614.465714285714;7.98
07650;20130128060000;98.1942857142858;91.08428571428571;-1.6257142857142854;112.39714285714282;2.637142857142857;-2.3700000000000045;9614.465714285714;8.265714285714285
07661;20130128060000;-94.66285714285914;52.51285714285714;-1.0542857142857143;80.96857142857144;2.565714285714286;-2.084285714285727;7900.18;16.694285714285716
07690;20130128060000;-260.377142857149;25.37;-0.33999999999999986;43.82571428571427;1.8371428571428572;-2.1271428571428714;6900.18;16.694285714285716
07747;20130128060000;-298.94857142856927;nan;nan;40.96857142857141;1.6799999999999997;0.9728571428571513;nan;nan
07761;20130128060000;-281.8057142857142;nan;nan;46.68285714285713;0.5800000000000001;4.401428571428596;nan;nan
07790;20130128060000;-207.52000000000407;nan;nan;26.68285714285713;-0.2200000000000002;7.430000000000007;nan;nan
61968;20130128060000;-171.8057142857142;nan;nan;2.3971428571428532;0.2942857142857145;10.715714285714284;nan;nan
61970;20130128060000;-227.52000000000407;nan;nan;-26.17428571428573;0.2942857142857145;13.70142857142855;nan;nan
61972;20130128060000;49.62285714285099;nan;nan;10.968571428571408;0.2942857142857145;15.372857142857129;nan;nan
61976;20130128060000;-304.66285714285914;nan;nan;53.82571428571427;1.4657142857142853;15.572857142857117;nan;nan
61980;20130128060000;-394.66285714285914;nan;nan;62.39714285714285;2.937142857142857;13.258571428571429;nan;nan
61996;20130128060000;-387.5200000000041;nan;nan;52.39714285714285;3.08;13.344285714285718;nan;nan
61997;20130128060000;-463.23428571429395;nan;nan;73.82571428571427;4.180000000000001;8.844285714285718;nan;nan
61998;20130128060000;-364.66285714285914;nan;nan;86.68285714285716;3.2942857142857145;7.572857142857174;nan;nan
67005;20130128060000;-306.0914285714389;nan;nan;nan;nan;6.872857142857129;nan;nan
71805;20130128060000;-458.94857142856927;nan;nan;nan;nan;7.301428571428573;nan;nan
78897;20130128060000;-50.37714285714901;nan;nan;nan;nan;9.587142857142851;nan;nan
78922;20130128060000;46.76571428570605;nan;nan;nan;nan;11.28714285714284;nan;nan
78925;20130128060000;38.1942857142858;nan;nan;nan;nan;10.329999999999984;nan;nan
81401;20130128060000;-204.66285714285914;nan;nan;nan;nan;11.05857142857144;nan;nan
81405;20130128060000;-273.23428571429395;nan;nan;nan;nan;8.829999999999984;nan;nan
81408;20130128060000;-343.23428571429395;nan;nan;-80.46000000000001;-1.7771428571428571;5.758571428571429;nan;nan
89642;20130128060000;-391.8057142857142;nan;nan;-54.7457142857143;-0.8200000000000003;3.7299999999999613;nan;nan
07005;20130128090000;-358.94857142856927;nan;nan;-31.888571428571424;-0.1628571428571428;1.0728571428571172;nan;nan
07015;20130128090000;-323.23428571429395;nan;nan;-6.17428571428573;-0.09142857142857164;-1.9700000000000273;nan;nan
07020;20130128090000;-277.5200000000041;178.22714285714287;-1.4828571428571427;29.539999999999992;0.4942857142857138;-4.884285714285738;9757.322857142859;-11.305714285714286
07027;20130128090000;55.33714285714086;192.51285714285714;-1.9114285714285715;46.68285714285713;1.2371428571428567;-3.7271428571428373;5471.608571428573;-11.305714285714286
07037;20130128090000;66.76571428570605;165.37;-1.9114285714285715;45.254285714285714;1.4657142857142853;-3.3128571428571263;2185.8942857142865;-11.448571428571428
07072;20130128090000;132.47999999999593;165.37;-2.197142857142857;39.53999999999999;1.1085714285714285;-3.0985714285714607;4328.751428571428;-11.59142857142857
